price,area,bedrooms,bathrooms,parking,mainroad,guestroom,basement,centralheating,airconditioning,prefarea,furnishingstatus
191520,7420,4,2,2,yes,no,no,no,yes,yes,furnished
176400,8960,4,4,3,yes,no,no,no,yes,no,furnished
176400,9960,3,2,2,yes,no,yes,no,no,yes,semi-furnished
175896,7500,4,2,3,yes,no,yes,no,yes,yes,furnished
164304,7420,4,1,2,yes,yes,yes,no,yes,no,furnished
156240,7500,3,3,2,yes,no,yes,no,yes,yes,semi-furnished
146160,8580,4,3,2,yes,no,no,no,yes,yes,semi-furnished
NA,16200,5,3,0,yes,no,no,no,no,no,unfurnished
142128,8100,4,1,2,yes,yes,yes,no,yes,yes,furnished
141120,5750,3,2,1,yes,yes,no,no,yes,yes,unfurnished
141120,13200,3,1,2,yes,no,yes,no,yes,yes,furnished
139406,6000,4,3,2,yes,yes,yes,yes,no,no,semi-furnished
134064,6550,4,2,1,yes,no,no,no,yes,yes,semi-furnished
133056,3500,4,2,2,yes,no,no,yes,no,no,furnished
133056,7800,,2,0,yes,no,no,no,no,yes,semi-furnished
131040,6000,4,1,2,yes,no,yes,no,no,no,semi-furnished
131040,6600,4,2,1,yes,yes,yes,no,yes,yes,unfurnished
129024,8500,3,2,2,yes,no,no,no,yes,no,furnished
128016,4600,3,2,2,yes,yes,no,no,yes,no,furnished
127512,6420,3,2,1,yes,no,no,no,yes,yes,semi-furnished
126000,4320,3,1,2,yes,no,yes,yes,no,no,semi-furnished
124992,7155,3,,2,yes,yes,yes,no,yes,no,unfurnished
124488,8050,3,1,1,yes,yes,yes,no,yes,no,furnished
124488,4560,3,2,1,yes,yes,yes,no,yes,no,furnished
NA,8800,3,2,2,yes,no,no,no,yes,no,furnished
122976,6540,4,2,2,yes,yes,yes,no,yes,yes,furnished
121867,6000,3,2,0,yes,yes,yes,no,yes,yes,semi-furnished
120960,8875,3,1,1,yes,no,no,no,no,no,semi-furnished
120960,7950,,2,2,yes,no,yes,yes,no,no,unfurnished
120960,5500,4,2,1,yes,no,yes,no,yes,yes,semi-furnished
120960,7475,3,2,2,yes,no,no,no,yes,no,unfurnished
120960,7000,3,1,2,yes,no,no,no,yes,no,semi-furnished
119448,4880,4,2,1,yes,no,no,no,yes,yes,furnished
117936,5960,3,3,1,yes,yes,yes,no,no,no,unfurnished
116928,6840,5,1,1,yes,yes,yes,no,yes,no,furnished
116365,7000,3,2,2,yes,no,no,no,yes,no,furnished
115819,7482,3,2,1,yes,no,no,yes,no,yes,furnished
114912,9000,4,2,2,yes,no,no,no,yes,no,furnished
114660,6000,3,1,2,yes,yes,no,no,yes,no,unfurnished
113904,6000,4,2,1,yes,no,no,no,yes,no,semi-furnished
113400,6550,3,1,0,yes,no,yes,no,yes,yes,furnished
112896,6360,3,2,0,yes,no,no,no,yes,yes,furnished
110880,6480,3,2,2,yes,no,no,no,yes,no,unfurnished
110880,6000,4,2,2,yes,no,no,no,no,no,semi-furnished
108864,6000,4,2,1,yes,no,no,no,yes,no,furnished
108864,6000,3,2,0,yes,no,no,no,yes,no,semi-furnished
108360,6000,3,2,1,yes,no,no,no,yes,no,furnished
107856,6600,3,1,3,yes,no,no,no,yes,yes,furnished
107352,4300,3,2,1,yes,no,yes,no,no,no,unfurnished
106848,7440,3,2,0,yes,yes,yes,no,yes,yes,semi-furnished
106848,7440,3,2,1,yes,no,no,no,no,yes,unfurnished
NA,6325,3,1,1,yes,no,no,no,yes,no,unfurnished
105840,6000,4,2,1,yes,yes,no,no,yes,no,furnished
105840,5150,3,2,2,yes,no,no,no,yes,no,semi-furnished
105840,6000,3,2,1,yes,yes,no,no,yes,no,semi-furnished
105840,6000,3,1,1,yes,no,no,no,yes,no,unfurnished
105739,11440,4,1,1,yes,no,yes,no,no,yes,semi-furnished
104328,9000,4,2,1,yes,yes,no,no,yes,yes,furnished
103824,7680,4,2,1,yes,yes,no,no,yes,no,semi-furnished
103824,6000,3,2,1,yes,yes,no,no,yes,no,furnished
102816,6000,3,2,1,yes,yes,no,no,no,no,semi-furnished
101808,8880,2,1,1,yes,no,no,no,yes,no,semi-furnished
101808,6240,4,2,1,yes,no,no,no,yes,no,furnished
101304,6360,4,2,2,yes,no,no,no,yes,yes,furnished
100800,11175,3,1,1,yes,no,yes,no,yes,yes,furnished
99792,8880,3,2,1,yes,no,yes,no,yes,no,furnished
99792,13200,2,1,1,yes,no,yes,yes,no,no,furnished
99288,7700,3,2,2,yes,no,no,no,no,no,unfurnished
98784,6000,3,1,1,yes,no,no,no,yes,no,furnished
97776,12090,4,2,2,yes,no,no,no,no,yes,furnished
97776,4000,3,2,0,yes,no,yes,no,yes,yes,semi-furnished
97272,6000,4,2,0,yes,no,no,no,yes,no,unfurnished
96768,5020,3,1,0,yes,no,no,no,yes,yes,unfurnished
96264,6600,2,2,0,yes,no,yes,no,no,yes,furnished
NA,4040,3,1,1,yes,no,yes,yes,no,no,furnished
95760,4260,4,2,0,yes,no,no,yes,no,no,semi-furnished
95760,6420,3,2,0,yes,no,no,no,yes,yes,furnished
95760,6500,3,2,0,yes,no,no,no,yes,yes,furnished
95760,5700,3,1,2,yes,yes,yes,no,yes,yes,furnished
95760,6000,3,2,0,yes,yes,no,no,yes,no,furnished
95457,6000,3,1,1,yes,no,no,yes,no,yes,semi-furnished
95256,4000,3,2,1,yes,no,yes,no,yes,no,semi-furnished
95256,10500,3,2,1,yes,no,yes,no,yes,yes,furnished
94752,6000,3,2,0,yes,no,no,no,yes,no,semi-furnished
93744,3760,3,1,2,yes,no,no,yes,no,no,semi-furnished
93744,8250,3,2,0,yes,no,no,no,yes,no,furnished
